Player ID,Player Name,Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,Tournament,Teams
26817,Abbas ali baig,Tests,10,2,18,15,0,-,-,-,5.00,-,0,0,0,,
26817,Abbas ali baig,FC,235,-,660,432,9,2/26,-,48.00,3.92,73.3,-,0,0,,
35933,Ajit wadekar,Tests,37,7,61,55,0,-,-,-,5.40,-,0,0,0,,
35933,Ajit wadekar,ODIs,2,-,-,-,-,-,-,-,-,-,-,-,-,,
35933,Ajit wadekar,FC,237,-,1622,908,21,2/0,-,43.23,3.35,77.2,-,0,0,,
35933,Ajit wadekar,List A,5,-,0,0,0,-,-,-,-,-,0,0,0,,
31067,Amol muzumdar,FC,171,-,414,216,6,1/1,-,36.00,3.13,69.0,-,0,0,,
31067,Amol muzumdar,List A,113,-,96,91,2,1/11,1/11,45.50,5.68,48.0,0,0,0,,
31067,Amol muzumdar,T20s,14,-,-,-,-,-,-,-,-,-,-,-,-,,
6553,Andrew mcdonald,Tests,4,7,732,300,9,3/25,3/72,33.33,2.45,81.3,0,0,0,,
6553,Andrew mcdonald,FC,95,-,12632,5776,201,6/34,-,28.73,2.74,62.8,8,5,0,,
6553,Andrew mcdonald,List A,100,-,3707,3147,79,5/38,5/38,39.83,5.09,46.9,1,1,0,,
6553,Andrew mcdonald,T20s,93,84,1470,1887,82,5/13,5/13,23.01,7.70,17.9,1,1,0,,
6553,Andrew mcdonald,,13,10,90,147,5,3/20,3/20,29.40,9.80,18.0,0,0,0,Big Bash League,2 teams
6553,Andrew mcdonald,,11,10,186,261,11,2/25,2/25,23.72,8.41,16.9,0,0,0,IPL,2 teams
6553,Andrew mcdonald,,13,13,264,287,14,4/21,4/21,20.50,6.52,18.8,1,0,0,Champions League,3 teams
6553,Andrew mcdonald,,21,20,382,504,21,5/13,5/13,24.00,7.91,18.1,0,1,0,Vitality Blast,LEICS
30176,Anil kumble,Tests,132,236,40850,18355,619,10/74,14/149,29.65,2.69,65.9,31,35,8,,
30176,Anil kumble,ODIs,271,265,14496,10412,337,6/12,6/12,30.89,4.30,43.0,8,2,0,,
30176,Anil kumble,FC,244,-,66931,29347,1136,10/74,-,25.83,2.63,58.9,-,72,19,,
30176,Anil kumble,List A,380,-,20247,14178,514,6/12,6/12,27.58,4.20,39.3,14,3,0,,
