Player ID,Player Name,Format,Mat,Inns,NO,Runs,HS,Ave,Strike_Rate,Catch,Stump,100s,50s,6s,4s,BF,Tournament,Teams
26817,Abbas ali baig,Tests,10,18,0,428,112,23.77,,6,0,1,2,0,,,,
26817,Abbas ali baig,FC,235,391,29,12367,224*,34.16,,154,0,21,64,-,,,,
35933,Ajit wadekar,Tests,37,71,3,2113,143,31.07,-,46,0,1,14,2,-,-,,
35933,Ajit wadekar,ODIs,2,2,0,73,67,36.5,81.11,1,0,0,1,0,11,90,,
35933,Ajit wadekar,FC,237,360,33,15380,323,47.03,-,271,0,36,84,-,-,-,,
35933,Ajit wadekar,List A,5,4,1,193,87,64.33,-,3,0,0,2,-,-,-,,
31067,Amol muzumdar,FC,171,260,28,11167,260,48.13,-,162,0,30,60,-,-,-,,
31067,Amol muzumdar,List A,113,106,20,3286,109,38.2,-,40,0,3,26,-,-,-,,
31067,Amol muzumdar,T20s,14,13,4,174,57,19.33,109.43,3,0,0,1,2,13,159,,
6553,Andrew mcdonald,Tests,4,6,1,107,68,21.4,49.3,2,0,0,1,0,11,217,,
6553,Andrew mcdonald,FC,95,155,33,4825,176*,39.54,60.07,66,0,11,25,-,-,8032,,
6553,Andrew mcdonald,List A,100,86,23,1888,67,29.96,83.53,42,0,0,9,-,-,2260,,
6553,Andrew mcdonald,T20s,93,81,26,1743,96*,31.69,124.41,33,0,0,11,42,134,1401,,
6553,Andrew mcdonald,,13,12,2,230,60*,23,111.65,2,0,0,2,10,10,206,Big Bash League,2 teams
6553,Andrew mcdonald,,11,9,4,123,33*,24.6,123,0,0,0,0,4,9,100,IPL,2 teams
6553,Andrew mcdonald,,13,9,3,143,29*,23.83,115.32,5,0,0,0,4,11,124,Champions League,3 teams
6553,Andrew mcdonald,,21,20,7,758,96*,58.3,129.79,13,0,0,9,12,69,584,Vitality Blast,LEICS
30176,Anil kumble,Tests,132,173,32,2506,110*,17.77,38.82,60,0,1,5,9,302,6455,,
30176,Anil kumble,ODIs,271,136,47,938,26,10.53,61.06,85,0,0,0,6,57,1536,,
30176,Anil kumble,FC,244,318,61,5572,154*,21.68,-,120,0,7,17,-,-,-,,
30176,Anil kumble,List A,380,203,73,1456,30*,11.2,-,122,0,0,0,-,-,-,,
30176,Anil kumble,T20s,54,21,17,46,8,11.5,77.96,15,0,0,0,0,3,59,,
30176,Anil kumble,,9,2,2,2,1*,-,66.66,5,0,0,0,0,0,3,Champions League,RCB
30176,Anil kumble,,42,17,14,35,8,11.66,74.46,10,0,0,0,0,3,47,IPL,RCB
30176,Anil kumble,,2,1,0,8,8,8,114.28,0,0,0,0,0,0,7,Vitality Blast,SUR
53915,Anju jain,WTests,8,12,0,441,110,36.75,,15,8,1,3,,,,,
53915,Anju jain,WODIs,65,65,7,1729,90,29.81,,30,51,0,12,,,,,
7619,Bob simpson,Tests,62,111,7,4869,311,46.81,-,110,0,10,27,2,-,-,,
7619,Bob simpson,ODIs,2,2,0,36,23,18,67.92,4,0,0,0,1,3,53,,
7619,Bob simpson,FC,257,436,62,21029,359,56.22,-,383,0,60,100,-,-,-,,
7619,Bob simpson,List A,5,5,1,135,37,33.75,-,4,0,0,0,-,-,-,,
26962,Chandu borde,Tests,55,97,11,3061,177*,35.59,,37,0,5,18,,,,,
26962,Chandu borde,FC,251,370,57,12805,207*,40.91,,160,0,30,72,,,,,
6285,Darren lehmann,Tests,27,42,2,1798,177,44.95,61.8,11,0,5,10,10,214,2909,,
6285,Darren lehmann,ODIs,117,101,22,3078,119,38.96,81.34,26,0,4,17,14,227,3784,,
6285,Darren lehmann,FC,284,479,33,25795,339,57.83,-,143,0,82,111,-,-,-,,
6285,Darren lehmann,List A,367,341,61,13122,191,46.86,-,109,0,19,94,-,-,-,,
6285,Darren lehmann,T20s,17,17,4,381,48,29.3,117.95,4,0,0,0,2,43,323,,
6285,Darren lehmann,,2,2,0,18,17,9,100,0,0,0,0,0,3,18,IPL,RR
6285,Darren lehmann,,9,9,3,252,48,42,120,4,0,0,0,1,32,210,Vitality Blast,YORKS
55424,Duncan fletcher,ODIs,6,6,2,191,71*,47.75,66.08,0,0,0,2,0,14,289,,
55424,Duncan fletcher,FC,111,198,25,4095,93,23.67,-,75,0,0,20,-,-,-,,
55424,Duncan fletcher,List A,53,45,6,1119,108,28.69,-,20,0,1,7,-,-,-,,
45813,Gary kirsten,Tests,101,176,15,7289,275,45.27,43.43,83,0,21,34,12,922,16783,,
45813,Gary kirsten,ODIs,185,185,19,6798,188*,40.95,72.04,61,1,13,45,20,659,9436,,
45813,Gary kirsten,FC,221,387,42,16670,275,48.31,-,171,0,46,79,-,-,-,,
45813,Gary kirsten,List A,294,289,27,9586,188*,36.58,-,97,1,18,58,-,-,-,,
